,Open,High,Low,Close,return,rv_gkyz,GPR_AI,EPU,GPR_AI_sc,EPU_sc
2024-06-28,5488.47998046875,5523.64013671875,5451.1201171875,5460.47998046875,-0.4092013462369599,0.7827144726105266,184.11,88.91,1.9568755108574138,0.23476847719124017
2024-07-01,5471.080078125,5479.5498046875,5446.52978515625,5475.08984375,0.26719909814295234,0.21820398787176676,150.29,56.38,1.3898863126248875,-0.4373921724408303
2024-07-02,5461.83984375,5509.68994140625,5458.43017578125,5509.009765625,0.6176205771185049,0.20990179794018596,140.04,244.08,1.192556548781368,1.7249566733252482
2024-07-03,5507.43994140625,5539.27001953125,5507.419921875,5537.02001953125,0.5071562269533664,0.0562345693626649,74.25,41.45,-0.5798980260687586,-0.891332670169184
2024-07-05,5537.91015625,5570.330078125,5531.6298828125,5567.18994140625,0.543397436096954,0.1358722029255549,94.35,58.82,0.08935274635438002,-0.37487384690681186
2024-07-08,5572.75,5583.10986328125,5562.509765625,5572.85009765625,0.10161824764044329,0.07828528285590203,110.79,778.95,0.5380608563939896,3.437343102629813
2024-07-09,5584.240234375,5590.75,5574.56982421875,5576.97998046875,0.07407974780654752,0.07715081869989034,109.75,109.45,0.5117139700426164,0.5414664195405589
2024-07-10,5591.259765625,5635.39013671875,5586.43994140625,5633.91015625,1.0156314878105885,0.22287727807789684,128.41,85.73,0.9503597820123404,0.18102367896367005
2024-07-11,5635.2099609375,5642.4501953125,5576.52978515625,5584.5400390625,-0.8801649969266724,0.37589627039789303,153.11,182.9,1.4418172483931233,1.2991564574754453
2024-07-12,5590.759765625,5655.56005859375,5590.43994140625,5615.35009765625,0.550186402496512,0.6086019129053781,144.67,29.57,1.2834215565427844,-1.3896907739924622
2024-07-15,5638.16015625,5666.93994140625,5614.75,5631.22021484375,0.2822216423352684,0.5864955543427747,134.24,109.49,1.0743943105444023,0.5420056071657965
2024-07-16,5644.08984375,5669.669921875,5639.02001953125,5667.2001953125,0.6369049971453274,0.13452529115568432,261.56,99.68,2.937761245974547,0.4034917031129138
2024-07-17,5610.06982421875,5622.490234375,5584.81005859375,5588.27001953125,-1.4025441523645543,1.1941023478946653,170.13,96.85,1.7362705365644981,0.3609913404799324
